鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
松山區,房地(土地+建物),臺北市松山區八德路四段451~480號,11.96,商,,,1081111,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),見使用執照,鋼骨鋼筋混凝土造,0910619,105.83,3,2,2,有,有,21380000,202022,,0.0,0,含增建或未登記建物。;,RPSNMLOLKIOFFDA08CA
信義區,房地(土地+建物),臺北市信義區永吉路361~390號,27.0,商,,,1081007,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060905,199.59,4,2,2,有,有,62190000,311589,,0.0,0,,RPTNMLOLKIOFFDA18CA
松山區,房地(土地+建物),臺北市松山區民權東路三段103巷5弄1~30號,24.7,住,,,1081122,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0740326,82.76,3,1,1,有,有,6000000,72499,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLOLKIOFFDA97CA
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段31~60號,118.23,其他,,,1080728,土地2建物1車位2,三十層,三十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071105,920.44,0,0,0,無,有,608370000,701826,坡道平面,66.14,8800000,,RPTNMLPLKIOFFDA28CA
信義區,房地(土地+建物),臺北市信義區信義路六段76巷8弄31~60號,36.8,住,,,1081018,土地1建物1車位0,地下層,四層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0670222,94.36,3,2,2,有,無,4200000,44510,,0.0,0,,RPXNMLPLKIOFFDA68CA
松山區,車位,臺北市松山區南京東路四段1~30號,0.11,商,,,1081207,土地0建物0車位1,一層,十五層,其他,住家用,鋼筋混凝土造,0971205,1.54,0,0,0,有,有,1360000,,塔式車位,0.0,1360000,,RPUOMLPLKIOFFDA48CA
松山區,房地(土地+建物),臺北市松山區延吉街30巷1~30號,20.29,住,,,1081210,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0670123,104.17999999999999,3,2,2,有,有,18250000,175161,,0.0,0,,RPWOMLPLKIOFFDA68CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷36弄91~120號,46.1,住,,,1081129,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,275.21999999999997,3,2,2,有,有,57500000,208924,坡道平面,0.0,2200000,,RPPNMLRLKIOFFDA08CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷61~90號,52.73,住,住宅區,,1081112,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970612,259.08,4,2,2,有,有,43800000,169060,坡道平面,38.91,0,,RPQNMLKMKIOFFDA57CA
南港區,房地(土地+建物),臺北市南港區經貿二路211~240號,52.98,住,,,1081210,土地1建物1車位0,七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1040429,310.86,3,2,3,有,有,69400000,223252,,0.0,0,,RPWPMLNJJHPFFDA28CA
