鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物)+車位,臺中市北區梅川西路四段121~150號,3.89,住,,,1081211,土地1建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831122,47.5,1,0,1,有,有,2100000,48282,坡道機械,12.3,400000,,RPTNMLPLKIOFFBB18CA
北區,房地(土地+建物),臺中市北區育德路189巷1~30號,7.64,住,,,1081203,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820222,27.43,3,2,1,有,無,800000,29155,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLPLKIOFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段271~300號,9.74,住,,,1081126,土地1建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,106.95,2,2,2,有,有,8080000,75549,坡道機械,13.62,0,,RPVQMLPLKIOFFBB68CA
北區,房地(土地+建物),臺中市北區中清路一段880巷6弄1~30號,38.72,商,,,1081118,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690821,102.74,3,2,2,有,無,4100000,39907,,0.0,0,含增建或未登記建物。,RPWQMLPLKIOFFBB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區旅順路二段241~270號,17.28,住,,,1081201,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810701,108.39,3,2,2,有,有,5500000,50743,升降機械,0.0,0,,RPVNMLQLKIOFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路181~210號,15.14,住,,,1081201,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830208,155.38,4,2,2,有,有,7000000,45051,坡道機械,0.0,0,,RPWNMLQLKIOFFBB58CA
北區,房地(土地+建物),臺中市北區梅亭街541~570號,36.99,住,,,1081126,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700916,106.49,3,2,2,有,無,6690000,62823,,0.0,0,,RPUOMLRLKIOFFBB58CA
北屯區,房地(土地+建物),臺中市北屯區松竹五路二段31~60號,108.85,住,,,1081021,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970117,239.26,3,3,4,有,無,21800000,91114,,0.0,0,,RPPPMLRLKIOFFBB18CA
北區,房地(土地+建物),臺中市北區北平路二段30巷1~30號,26.7,住,,,1081102,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710513,86.55,4,0,4,有,有,5100000,58925,,0.0,0,,RPVNMLTLKIOFFBB78CA
北區,房地(土地+建物),臺中市北區五權路241~270號,19.65,住,,,1081120,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890705,149.85,3,2,2,有,有,7500000,50050,,0.0,0,,RPVPMLLMKIOFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區景賢十路31~60號,156.23,住,,,1081028,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1020708,429.14,5,3,7,有,無,39000000,90879,,0.0,0,,RPWQMLLMKIOFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區修齊街13巷1~30號,13.78,商,,,1081020,土地2建物1車位1,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820311,115.72,3,2,2,有,有,5900000,50985,升降平面,0.0,0,,RPRNMLMJJHPFFBB37CA
北區,房地(土地+建物),臺中市北區太原五街1~30號,6.8,商,,,1081022,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791121,47.55,2,1,1,有,有,2710000,56993,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLMJJHPFFBB37CA
北區,房地(土地+建物),臺中市北區華美西街一段211~240號,21.87,住,,,1081004,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0820503,122.33,3,2,2,有,有,4000000,32698,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLNJJHPFFBB37CA
北屯區,房地(土地+建物)+車位,臺中市北屯區敦化路一段406巷1~30號,15.21,住,,,1080926,土地1建物1車位1,一層，二層，騎樓,十四層,店面(店鋪),住商用,鋼筋混凝土造,0840807,155.23000000000002,2,1,3,有,有,10100000,65065,坡道機械,0.0,0,,RPSNMLQJJHPFFBB87CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太順路61~90號,18.86,住,,,1081110,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080424,154.29,3,2,2,有,有,8460000,54832,坡道平面,27.55,0,,RPVRMLQJJHPFFBB58CA
北區,房地(土地+建物),臺中市北區北平路二段1~30號,10.9,商,,,1081124,土地1建物2車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850829,60.26,2,0,2,有,有,3500000,58082,,0.0,0,,RPVTMLQJJHPFFBB78CA
北區,房地(土地+建物),臺中市北區太原路二段181~210號,10.25,商,,,1081125,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0930903,101.05000000000001,3,2,2,有,有,6850000,67788,,0.0,0,,RPOSMLRJJHPFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區柳陽東街61~90號,22.69,住,,,1081108,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830419,178.76999999999998,3,2,2,有,有,8500000,47547,坡道平面,0.0,0,,RPUOMLTJJHPFFBB48CA
北區,房地(土地+建物),臺中市北區三民路三段201巷1~30號,58.0,住,,,1081202,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0550610,102.2,6,2,3,有,無,18500000,181018,,0.0,0,,RPRPMLTJJHPFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德二路一段151~180號,20.55,住,,,1081117,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811120,131.84,3,2,2,有,有,6770000,51346,坡道平面,0.0,0,,RPRSMLTJJHPFFBB58CA
北屯區,房地(土地+建物),臺中市北屯區北屯路426之8巷1~30號,16.36,住,,,1081004,土地2建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081108,91.81,2,1,1,有,有,7500000,81690,,0.0,0,,RPRONLKKJHPFFBB47CA
北屯區,房地(土地+建物),臺中市北屯區北屯路426之8巷1~30號,16.36,住,,,1081001,土地2建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081108,91.81,2,1,1,有,有,6980000,76027,,0.0,0,,RPSONLKKJHPFFBB57CA
北屯區,房地(土地+建物),臺中市北屯區北屯路426之8巷1~30號,16.36,住,,,1081002,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081108,91.81,2,1,1,有,有,6900000,75155,,0.0,0,,RPTONLKKJHPFFBB67CA
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路426之8巷1~30號,20.06,住,,,1080429,土地2建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081108,146.43,3,1,2,有,有,10100000,72329,坡道平面,28.22,1550000,,RPUONLKKJHPFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路426之8巷1~30號,20.06,住,,,1080120,土地2建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081108,146.43,3,1,2,有,有,10600000,76559,坡道平面,28.22,1550000,,RPWONLKKJHPFFBB97CA
