鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區龍勝路31~60號,6.91,商,,,1081119,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001007,76.33,2,1,1,有,有,5300000,69435,,0.0,0,,RPTOMLTJJHPFFAE58CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區神農路61~90號,59.43,商,,,1081128,土地1建物1車位4,三十一層,三十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041104,1006.1800000000001,0,0,0,無,有,193400000,192593,坡道平面,76.76,14400000,,RPRNMLSJJHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路241~270號,31.23,住,,,1081124,土地2建物1車位1,十四層，十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951013,224.26,4,2,3,有,有,14750000,65772,坡道平面,15.5,0,,RPSNMLSJJHPFFAE28CA
鼓山區,車位,高雄市鼓山區美術北五街61~90號,2.49,住,,,1081021,土地0建物0車位1,,,其他,,,,20.81,0,0,0,有,有,2100000,,坡道平面,20.81,2100000,單獨車位交易。;,RPSNMLTJJHPFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明華路241~270號,10.4,商,,,1081202,土地1建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840615,119.78,2,2,1,有,有,6220000,51929,坡道平面,0.0,0,,RPUNMLNJJHPFFAE97CA
前金區,車位,高雄市前金區大同一路241~270號,0.29,商,,,1081109,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,1450000,,坡道平面,0.0,0,,RPQNMLLJJHPFFAE37CA
前金區,房地(土地+建物),高雄市前金區大同一路271~300號,5.72,商,,,1081108,土地1建物1車位0,十七層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070904,90.1,2,1,1,有,有,6700000,74362,,0.0,0,,RPRNMLLJJHPFFAE47CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路61~90號,27.62,住,,,1081130,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960814,196.20999999999998,4,2,2,有,有,13000000,66256,坡道平面,0.0,0,,RPUNMLRLKIOFFAE68CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華榮路61~90號,13.02,商,,,1081122,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871210,173.9,4,2,2,有,有,8600000,49454,坡道平面,16.94,0,,RPPOMLRLKIOFFAE28CA
鼓山區,房地(土地+建物),高雄市鼓山區美術北一街31~60號,9.61,商,,,1081121,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941027,90.9,2,2,1,有,無,5470000,60176,,0.0,0,附家具家電,RPSOMLKMKIOFFAE97CA
